"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MZT2A",1.53951435638127e-70,-0.289683294776718,0.018,0.113,3.36445467443562e-66,"Delta","MZT2A"
"DNAJB1",1.79415164992412e-70,-0.346638055214312,0.048,0.167,3.92093901574417e-66,"Delta","DNAJB1"
"NDUFB4",2.11476740962726e-70,-0.273496984287771,0.049,0.17,4.62161269699941e-66,"Delta","NDUFB4"
"JAK1",2.41351692749317e-70,-0.341298508346797,0.029,0.134,5.27449989334358e-66,"Delta","JAK1"
"GSN",3.36446424098007e-70,-0.474300585527182,0.019,0.115,7.35270015223785e-66,"Delta","GSN"
"CEBPD",3.69534858664925e-70,-0.490773175650147,0.019,0.116,8.07581480126326e-66,"Delta","CEBPD"
"PRDX1",3.71418176397158e-70,-0.32348475475456,0.019,0.116,8.11697282698349e-66,"Delta","PRDX1"
"HELLPAR",4.21255096682314e-70,-0.770816568515168,0.083,0.207,9.20610888289528e-66,"Delta","HELLPAR"
"DNAJA1",4.2599015592692e-70,-0.311931378090281,0.022,0.122,9.3095888676269e-66,"Delta","DNAJA1"
"AP2M1",4.61144485705083e-70,-0.313478378674007,0.017,0.113,1.00778515905989e-65,"Delta","AP2M1"
"PPP1CB",6.81415312815166e-70,-0.256728902847195,0.031,0.138,1.48916502462626e-65,"Delta","PPP1CB"
"ARPC2",9.50152524672249e-70,-0.365095001670232,0.057,0.182,2.07646332741873e-65,"Delta","ARPC2"
"RPL13",1.05128916676928e-69,-0.447396544778072,0.392,0.584,2.29748734505759e-65,"Delta","RPL13"
"VCP",1.61487222612273e-69,-0.321101497241316,0.028,0.133,3.52914176296862e-65,"Delta","VCP"
"MT-ATP6",1.66300983640075e-69,0.294162222724766,0.983,0.974,3.63434169647019e-65,"Delta","MT-ATP6"
"GDI2",2.51829294546748e-69,-0.293018725182645,0.034,0.142,5.50347740302463e-65,"Delta","GDI2"
"TSC22D1",3.04675094555403e-69,-0.455660864093828,0.077,0.212,6.65836951641379e-65,"Delta","TSC22D1"
"YWHAZ",7.98855270583643e-69,-0.321891682908819,0.056,0.178,1.74581830833349e-64,"Delta","YWHAZ"
"TMBIM6",9.54020082370609e-69,-0.256648281621611,0.175,0.364,2.08491548801273e-64,"Delta","TMBIM6"
"BTG2",1.11390838359414e-68,-0.41985657327972,0.038,0.148,2.43433538150664e-64,"Delta","BTG2"
"VEGFA",1.51917400191797e-68,-0.395679916945969,0.071,0.202,3.32000286379153e-64,"Delta","VEGFA"
"PRRC2C",1.63636861913893e-68,-0.362700577934804,0.02,0.117,3.57611998026623e-64,"Delta","PRRC2C"
"RPL9",1.70522767343797e-68,-0.432210522953653,0.167,0.339,3.72660455753135e-64,"Delta","RPL9"
"UQCRH",1.79079035205867e-68,-0.267797840138283,0.075,0.21,3.91359323538902e-64,"Delta","UQCRH"
"SNX3",2.28798271179167e-68,-0.317301320411322,0.013,0.103,5.00015741834951e-64,"Delta","SNX3"
